court_lin_heu_01,behaviour,ID,type,redYN,date,trial,time_of_day,age_male,HC_model_ID,TLC_model_ID,position_HC,position_TLC,light_HC,light_TLC,temp,hum,observer,broods,HC_type,exp_line,males_inside,resp_other_males,pref_other_males
0,court_init,A18_001,TLC,N,2018_05_11,1,31414,30,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
1,court_init,A18_042,TLC,N,2018_05_11,1,33640,7,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,12,0.0833333333333333
0,court_init,A18_035,HC,Y,2018_05_11,1,33707,9,NA,NA,2,5,NA,NA,NA,NA,M,Stock(45),Old_Stock,NA,18,15,0.266666666666667
0,court_init,A18_034,TLC,N,2018_05_11,1,33750,9,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,approach,A18_001,TLC,N,2018_05_11,1,33773,30,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,approach,A18_036,HC,Y,2018_05_11,1,33813,9,NA,NA,2,5,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.214285714285714
0,court_init,A18_001,TLC,N,2018_05_11,1,34099,30,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,approach,A18_042,TLC,N,2018_05_11,1,34109,7,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,12,0.0833333333333333
1,court_init,A18_036,HC,Y,2018_05_11,1,34163,9,NA,NA,2,5,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.214285714285714
0,approach,A18_034,TLC,N,2018_05_11,1,34324,9,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,court_init,A18_034,TLC,N,2018_05_11,1,34927,9,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,approach,A18_039,HC,Y,2018_05_11,1,35176,11,NA,NA,2,5,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.285714285714286
1,approach,A18_042,TLC,N,2018_05_11,1,35294,7,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,12,0.0833333333333333
1,approach,A18_042,TLC,N,2018_05_11,1,35322,7,NA,NA,2,5,NA,NA,NA,NA,M,Stock(38),NA,NA,18,12,0.0833333333333333
0,approach,A18_039,HC,Y,2018_05_11,1,36267,11,NA,NA,2,5,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.285714285714286
0,court_init,A18_041,HC,Y,2018_05_11,1,36342,17,NA,NA,2,5,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,15,0.266666666666667
0,approach,A18_045,TLC,N,2018_05_11,2,36672,4,NA,NA,1,4,NA,NA,NA,NA,M,Stock(12),NA,NA,18,14,1
1,court_init,A18_042,TLC,N,2018_05_11,2,36901,7,NA,NA,1,4,NA,NA,NA,NA,M,Stock(38),NA,NA,18,13,0.923076923076923
1,court_init,A18_037,HC,Y,2018_05_11,2,37030,9,NA,NA,1,4,NA,NA,NA,NA,M,Stock(45),Old_Stock,NA,18,14,0.928571428571429
1,court_init,A18_001,TLC,N,2018_05_11,2,37523,30,NA,NA,1,4,NA,NA,NA,NA,M,Stock(38),NA,NA,18,14,0.928571428571429
1,court_init,A18_038,HC,Y,2018_05_11,2,38841,21,NA,NA,1,4,NA,NA,NA,NA,M,Stock(23),Old_Stock,NA,18,12,0.916666666666667
1,court_init,A18_039,HC,Y,2018_05_11,2,39195,11,NA,NA,1,4,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.928571428571429
1,court_init,A18_036,HC,Y,2018_05_11,2,39422,9,NA,NA,1,4,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,13,0.923076923076923
1,court_init,A18_036,HC,Y,2018_05_11,2,39604,9,NA,NA,1,4,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,13,0.923076923076923
1,approach,A18_042,TLC,N,2018_05_11,2,39834,7,NA,NA,1,4,NA,NA,NA,NA,M,Stock(38),NA,NA,18,13,0.923076923076923
1,court_init,A18_034,TLC,N,2018_05_11,2,39838,9,NA,NA,1,4,NA,NA,NA,NA,M,Stock(38),NA,NA,18,11,0.909090909090909
1,approach,A18_034,TLC,N,2018_05_11,2,39874,9,NA,NA,1,4,NA,NA,NA,NA,M,Stock(38),NA,NA,18,11,0.909090909090909
1,court_init,A18_034,TLC,N,2018_05_11,2,39878,9,NA,NA,1,4,NA,NA,NA,NA,M,Stock(38),NA,NA,18,11,0.909090909090909
1,court_init,A18_038,HC,Y,2018_05_11,2,40113,21,NA,NA,1,4,NA,NA,NA,NA,M,Stock(23),Old_Stock,NA,18,12,0.916666666666667
1,approach,A18_034,TLC,N,2018_05_11,2,40132,9,NA,NA,1,4,NA,NA,NA,NA,M,Stock(38),NA,NA,18,11,0.909090909090909
1,sitting,A18_038,HC,Y,2018_05_11,2,40398,21,NA,NA,1,4,NA,NA,NA,NA,M,Stock(23),Old_Stock,NA,18,12,0.916666666666667
1,court_init,A18_041,HC,Y,2018_05_11,3,40873,17,NA,NA,6,3,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,11,0.727272727272727
1,approach,A18_001,TLC,N,2018_05_11,3,40877,30,NA,NA,6,3,NA,NA,NA,NA,M,Stock(38),NA,NA,18,12,0.75
1,court_init,A18_035,HC,Y,2018_05_11,3,41199,9,NA,NA,6,3,NA,NA,NA,NA,M,Stock(45),Old_Stock,NA,18,12,0.75
0,approach,A18_042,TLC,N,2018_05_11,3,41212,7,NA,NA,6,3,NA,NA,NA,NA,M,Stock(38),NA,NA,18,12,0.833333333333333
1,approach,A18_034,TLC,N,2018_05_11,3,41285,9,NA,NA,6,3,NA,NA,NA,NA,M,Stock(38),NA,NA,18,10,0.8
1,approach,A18_044,TLC,N,2018_05_11,3,41911,4,NA,NA,6,3,NA,NA,NA,NA,M,Stock(38),NA,NA,18,12,0.75
1,court_init,A18_041,HC,Y,2018_05_11,3,42020,17,NA,NA,6,3,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,11,0.727272727272727
0,court_init,A18_036,HC,Y,2018_05_11,3,42332,9,NA,NA,6,3,NA,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,12,0.833333333333333
1,approach,A18_037,HC,Y,2018_05_11,3,42355,9,NA,NA,6,3,NA,NA,NA,NA,M,Stock(45),Old_Stock,NA,18,12,0.75
1,court_init,A18_038,HC,Y,2018_05_11,3,42513,21,NA,NA,6,3,NA,NA,NA,NA,M,Stock(23),Old_Stock,NA,18,11,0.727272727272727
1,court_init,A18_038,HC,Y,2018_05_11,3,42656,21,NA,NA,6,3,NA,NA,NA,NA,M,Stock(23),Old_Stock,NA,18,11,0.727272727272727
1,approach,A18_034,TLC,N,2018_05_11,3,42828,9,NA,NA,6,3,NA,NA,NA,NA,M,Stock(38),NA,NA,18,10,0.8
0,court_init,A18_034,TLC,N,2018_05_11,3,43398,9,NA,NA,6,3,NA,NA,NA,NA,M,Stock(38),NA,NA,18,10,0.8
0,court_init,A18_041,HC,Y,2018_05_16,1,33262,22,NA,NA,4,6,85422.8,52355.9,NA,NA,Alex,Stock(48),Old_Stock,NA,22,25,0.36
0,approach,A18_041,HC,Y,2018_05_16,1,33277,22,NA,NA,4,6,85422.8,52355.9,NA,NA,Alex,Stock(48),Old_Stock,NA,22,25,0.36
1,court_init,A18_037,HC,Y,2018_05_16,1,33299,14,NA,NA,4,6,88178.4,52355.9,NA,NA,Alex,Stock(45),Old_Stock,NA,22,27,0.259259259259259
1,approach,A18_009,HC,Y,2018_05_16,1,33506,37,NA,NA,4,6,85422.8,68889.3,NA,NA,Alex,Stock(19),Old_Stock,NA,22,29,0.310344827586207
0,approach,A18_041,HC,Y,2018_05_16,1,33548,22,NA,NA,4,6,85422.8,71644.9,NA,NA,Alex,Stock(48),Old_Stock,NA,22,25,0.36
1,approach,A18_040,HC,Y,2018_05_16,1,33745,19,NA,NA,4,6,82667.2,60622.6,NA,NA,Alex,Stock(19),Old_Stock,NA,22,29,0.310344827586207
0,approach,A18_025,HC,Y,2018_05_16,1,33811,30,NA,NA,4,6,85422.8,49600.3,NA,NA,Alex,Stock(19),Old_Stock,NA,22,26,0.346153846153846
0,approach,A18_041,HC,Y,2018_05_16,1,33813,22,NA,NA,4,6,85422.8,49600.3,NA,NA,Alex,Stock(48),Old_Stock,NA,22,25,0.36
1,approach,A18_037,HC,Y,2018_05_16,1,34004,14,NA,NA,4,6,88178.4,85422.8,NA,NA,Alex,Stock(45),Old_Stock,NA,22,27,0.259259259259259
1,approach,A18_037,HC,Y,2018_05_16,1,34674,14,NA,NA,4,6,88178.4,66133.8,NA,NA,Alex,Stock(45),Old_Stock,NA,22,27,0.259259259259259
0,court_init,A18_001,TLC,N,2018_05_16,1,34849,35,NA,NA,4,6,93689.5,88178.4,NA,NA,Alex,Stock(38),NA,NA,22,27,0.37037037037037
1,approach,A18_041,HC,Y,2018_05_16,1,35034,22,NA,NA,4,6,93689.5,88178.4,NA,NA,Alex,Stock(48),Old_Stock,NA,22,25,0.36
0,approach,A18_038,HC,Y,2018_05_16,1,35162,26,NA,NA,4,6,93689.5,93689.5,NA,NA,Alex,Stock(23),Old_Stock,NA,22,23,0.391304347826087
0,court_init,A18_038,HC,Y,2018_05_16,1,35175,26,NA,NA,4,6,93689.5,93689.5,NA,NA,Alex,Stock(23),Old_Stock,NA,22,23,0.391304347826087
0,court_init,A18_034,TLC,N,2018_05_16,1,35179,14,NA,NA,4,6,93689.5,93689.5,NA,NA,Alex,Stock(38),NA,NA,22,28,0.357142857142857
0,approach,A18_038,HC,Y,2018_05_16,1,35199,26,NA,NA,4,6,93689.5,93689.5,NA,NA,Alex,Stock(23),Old_Stock,NA,22,23,0.391304347826087
0,approach,A18_034,TLC,N,2018_05_16,1,35443,14,NA,NA,4,6,93689.5,93689.5,NA,NA,Alex,Stock(38),NA,NA,22,28,0.357142857142857
0,approach,A18_038,HC,Y,2018_05_16,1,35701,26,NA,NA,4,6,93689.5,99200.7,NA,NA,Alex,Stock(23),Old_Stock,NA,22,23,0.391304347826087
0,approach,A18_045,TLC,N,2018_05_16,1,35778,9,NA,NA,4,6,93689.5,99200.7,NA,NA,Alex,Stock(12),NA,NA,22,26,0.307692307692308
