court_lin_heu_01,behaviour,ID,type,redYN,date,trial,time_of_day,age_male,HC_model_ID,TLC_model_ID,position_HC,position_TLC,light_HC,light_TLC,grayscale_mean_at_visited,light_class_HC,temp,hum,observer,broods,HC_type,exp_line,males_inside,resp_other_males,pref_other_males
0,court_init,A18_001,TLC,N,2018_05_11,1,31414,30,NA,NA,2,5,NA,NA,0.0868886409198894,cloudy,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
1,court_init,A18_042,TLC,N,2018_05_11,1,33640,7,NA,NA,2,5,NA,NA,0.134702681385239,cloudy,NA,NA,M,Stock(38),NA,NA,18,12,0.0833333333333333
0,court_init,A18_035,HC,Y,2018_05_11,1,33707,9,NA,NA,2,5,NA,NA,0.145900591197406,cloudy,NA,NA,M,Stock(45),Old_Stock,NA,18,15,0.266666666666667
0,court_init,A18_034,TLC,N,2018_05_11,1,33750,9,NA,NA,2,5,NA,NA,0.145563153450002,cloudy,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,approach,A18_001,TLC,N,2018_05_11,1,33773,30,NA,NA,2,5,NA,NA,0.144311594428562,cloudy,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,approach,A18_036,HC,Y,2018_05_11,1,33813,9,NA,NA,2,5,NA,NA,0.147626483173039,cloudy,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.214285714285714
0,court_init,A18_001,TLC,N,2018_05_11,1,34099,30,NA,NA,2,5,NA,NA,0.165588186537239,sunny,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,approach,A18_042,TLC,N,2018_05_11,1,34109,7,NA,NA,2,5,NA,NA,0.171451941879704,sunny,NA,NA,M,Stock(38),NA,NA,18,12,0.0833333333333333
1,court_init,A18_036,HC,Y,2018_05_11,1,34163,9,NA,NA,2,5,NA,NA,0.133317252904978,cloudy,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.214285714285714
0,approach,A18_034,TLC,N,2018_05_11,1,34324,9,NA,NA,2,5,NA,NA,0.161734616911774,cloudy,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,court_init,A18_034,TLC,N,2018_05_11,1,34927,9,NA,NA,2,5,NA,NA,0.151657499105766,cloudy,NA,NA,M,Stock(38),NA,NA,18,13,0.307692307692308
0,approach,A18_039,HC,Y,2018_05_11,1,35176,11,NA,NA,2,5,NA,NA,0.152150750167229,cloudy,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.285714285714286
1,approach,A18_042,TLC,N,2018_05_11,1,35294,7,NA,NA,2,5,NA,NA,0.133071782469019,cloudy,NA,NA,M,Stock(38),NA,NA,18,12,0.0833333333333333
1,approach,A18_042,TLC,N,2018_05_11,1,35322,7,NA,NA,2,5,NA,NA,0.34560413162832,sunny,NA,NA,M,Stock(38),NA,NA,18,12,0.0833333333333333
0,approach,A18_039,HC,Y,2018_05_11,1,36267,11,NA,NA,2,5,NA,NA,0.152896119166958,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.285714285714286
0,court_init,A18_041,HC,Y,2018_05_11,1,36342,17,NA,NA,2,5,NA,NA,0.194017006265712,NA,NA,NA,M,Stock(48),Old_Stock,NA,18,15,0.266666666666667
0,approach,A18_045,TLC,N,2018_05_11,2,36672,4,NA,NA,1,4,NA,NA,NA,NA,NA,NA,M,Stock(12),NA,NA,18,14,1
1,court_init,A18_042,TLC,N,2018_05_11,2,36901,7,NA,NA,1,4,NA,NA,0.345044081298639,sunny,NA,NA,M,Stock(38),NA,NA,18,13,0.923076923076923
1,court_init,A18_037,HC,Y,2018_05_11,2,37030,9,NA,NA,1,4,NA,NA,0.145206067414606,cloudy,NA,NA,M,Stock(45),Old_Stock,NA,18,14,0.928571428571429
1,court_init,A18_001,TLC,N,2018_05_11,2,37523,30,NA,NA,1,4,NA,NA,0.203800442967916,cloudy,NA,NA,M,Stock(38),NA,NA,18,14,0.928571428571429
1,court_init,A18_038,HC,Y,2018_05_11,2,38841,21,NA,NA,1,4,NA,NA,0.154549621180979,cloudy,NA,NA,M,Stock(23),Old_Stock,NA,18,12,0.916666666666667
1,court_init,A18_039,HC,Y,2018_05_11,2,39195,11,NA,NA,1,4,NA,NA,0.153623162043223,cloudy,NA,NA,M,Stock(48),Old_Stock,NA,18,14,0.928571428571429
1,court_init,A18_036,HC,Y,2018_05_11,2,39422,9,NA,NA,1,4,NA,NA,0.113849850242986,cloudy,NA,NA,M,Stock(48),Old_Stock,NA,18,13,0.923076923076923
1,court_init,A18_036,HC,Y,2018_05_11,2,39604,9,NA,NA,1,4,NA,NA,0.239162880163648,cloudy,NA,NA,M,Stock(48),Old_Stock,NA,18,13,0.923076923076923
1,approach,A18_042,TLC,N,2018_05_11,2,39834,7,NA,NA,1,4,NA,NA,0.24376843542609,cloudy,NA,NA,M,Stock(38),NA,NA,18,13,0.923076923076923
1,court_init,A18_034,TLC,N,2018_05_11,2,39838,9,NA,NA,1,4,NA,NA,0.167463693917377,cloudy,NA,NA,M,Stock(38),NA,NA,18,11,0.909090909090909
